Instance Sets: J30
------------------------------------------------------------------------------
P	NC	RF_R	RS_R
------------------------------------------------------------------------------
1	1.50	0.25	0.20
2	1.50	0.25	0.50
3	1.50	0.25	0.70
4	1.50	0.25	1.00
5	1.50	0.50	0.20
6	1.50	0.50	0.50
7	1.50	0.50	0.70
8	1.50	0.50	1.00
9	1.50	0.75	0.20
10	1.50	0.75	0.50
11	1.50	0.75	0.70
12	1.50	0.75	1.00
13	1.50	1.00	0.20
14	1.50	1.00	0.50
15	1.50	1.00	0.70
16	1.50	1.00	1.00
17	1.80	0.25	0.20
18	1.80	0.25	0.50
19	1.80	0.25	0.70
20	1.80	0.25	1.00
21	1.80	0.50	0.20
22	1.80	0.50	0.50
23	1.80	0.50	0.70
24	1.80	0.50	1.00
25	1.80	0.75	0.20
26	1.80	0.75	0.50
27	1.80	0.75	0.70
28	1.80	0.75	1.00
29	1.80	1.00	0.20
30	1.80	1.00	0.50
31	1.80	1.00	0.70
32	1.80	1.00	1.00
33	2.10	0.25	0.20
34	2.10	0.25	0.50
35	2.10	0.25	0.70
36	2.10	0.25	1.00
37	2.10	0.50	0.20
38	2.10	0.50	0.50
39	2.10	0.50	0.70
40	2.10	0.50	1.00
41	2.10	0.75	0.20
42	2.10	0.75	0.50
43	2.10	0.75	0.70
44	2.10	0.75	1.00
45	2.10	1.00	0.20
46	2.10	1.00	0.50
47	2.10	1.00	0.70
48	2.10	1.00	1.00
-----------------------------------------------------------------------------
Instance Sets: J60
------------------------------------------------------------------------------
P	NC	RF_R	RS_R
------------------------------------------------------------------------------
1	1.50	0.25	0.20
2	1.50	0.25	0.50
3	1.50	0.25	0.70
4	1.50	0.25	1.00
5	1.50	0.50	0.20
6	1.50	0.50	0.50
7	1.50	0.50	0.70
8	1.50	0.50	1.00
9	1.50	0.75	0.20
10	1.50	0.75	0.50
11	1.50	0.75	0.70
12	1.50	0.75	1.00
13	1.50	1.00	0.20
14	1.50	1.00	0.50
15	1.50	1.00	0.70
16	1.50	1.00	1.00
17	1.80	0.25	0.20
18	1.80	0.25	0.50
19	1.80	0.25	0.70
20	1.80	0.25	1.00
21	1.80	0.50	0.20
22	1.80	0.50	0.50
23	1.80	0.50	0.70
24	1.80	0.50	1.00
25	1.80	0.75	0.20
26	1.80	0.75	0.50
27	1.80	0.75	0.70
28	1.80	0.75	1.00
29	1.80	1.00	0.20
30	1.80	1.00	0.50
31	1.80	1.00	0.70
32	1.80	1.00	1.00
33	2.10	0.25	0.20
34	2.10	0.25	0.50
35	2.10	0.25	0.70
36	2.10	0.25	1.00
37	2.10	0.50	0.20
38	2.10	0.50	0.50
39	2.10	0.50	0.70
40	2.10	0.50	1.00
41	2.10	0.75	0.20
42	2.10	0.75	0.50
43	2.10	0.75	0.70
44	2.10	0.75	1.00
45	2.10	1.00	0.20
46	2.10	1.00	0.50
47	2.10	1.00	0.70
48	2.10	1.00	1.00
------------------------------------------------------------------------------
Instance Sets: J90
------------------------------------------------------------------------------
P	NC	RF_R	RS_R
------------------------------------------------------------------------------
1	1.50	0.25	0.20
2	1.50	0.25	0.50
3	1.50	0.25	0.70
4	1.50	0.25	1.00
5	1.50	0.50	0.20
6	1.50	0.50	0.50
7	1.50	0.50	0.70
8	1.50	0.50	1.00
9	1.50	0.75	0.20
10	1.50	0.75	0.50
11	1.50	0.75	0.70
12	1.50	0.75	1.00
13	1.50	1.00	0.20
14	1.50	1.00	0.50
15	1.50	1.00	0.70
16	1.50	1.00	1.00
17	1.80	0.25	0.20
18	1.80	0.25	0.50
19	1.80	0.25	0.70
20	1.80	0.25	1.00
21	1.80	0.50	0.20
22	1.80	0.50	0.50
23	1.80	0.50	0.70
24	1.80	0.50	1.00
25	1.80	0.75	0.20
26	1.80	0.75	0.50
27	1.80	0.75	0.70
28	1.80	0.75	1.00
29	1.80	1.00	0.20
30	1.80	1.00	0.50
31	1.80	1.00	0.70
32	1.80	1.00	1.00
33	2.10	0.25	0.20
34	2.10	0.25	0.50
35	2.10	0.25	0.70
36	2.10	0.25	1.00
37	2.10	0.50	0.20
38	2.10	0.50	0.50
39	2.10	0.50	0.70
40	2.10	0.50	1.00
41	2.10	0.75	0.20
42	2.10	0.75	0.50
43	2.10	0.75	0.70
44	2.10	0.75	1.00
45	2.10	1.00	0.20
46	2.10	1.00	0.50
47	2.10	1.00	0.70
48	2.10	1.00	1.00
------------------------------------------------------------------------------
Instance Sets: J120
------------------------------------------------------------------------------
P    NC	  RF_R	 RS_R
------------------------------------------------------------------------------
 1   1.5  0.25   0.1
 2   1.5  0.25   0.2
 3   1.5  0.25   0.3
 4   1.5  0.25   0.4
 5   1.5  0.25   0.5
 6   1.5  0.50   0.1
 7   1.5  0.50   0.2
 8   1.5  0.50   0.3
 9   1.5  0.50   0.4
10   1.5  0.50   0.5
11   1.5  0.75   0.1
12   1.5  0.75   0.2
13   1.5  0.75   0.3
14   1.5  0.75   0.4
15   1.5  0.75   0.5
16   1.5  1.00   0.1
17   1.5  1.00   0.2
18   1.5  1.00   0.3
19   1.5  1.00   0.4
20   1.5  1.00   0.5
21   1.8  0.25   0.1
22   1.8  0.25   0.2
23   1.8  0.25   0.3
24   1.8  0.25   0.4
25   1.8  0.25   0.5
26   1.8  0.50   0.1
27   1.8  0.50   0.2
28   1.8  0.50   0.3
29   1.8  0.50   0.4
30   1.8  0.50   0.5
31   1.8  0.75   0.1
32   1.8  0.75   0.2
33   1.8  0.75   0.3
34   1.8  0.75   0.4
35   1.8  0.75   0.5
36   1.8  1.00   0.1
37   1.8  1.00   0.2
38   1.8  1.00   0.3
39   1.8  1.00   0.4
40   1.8  1.00   0.5
41   2.1  0.25   0.1
42   2.1  0.25   0.2
43   2.1  0.25   0.3
44   2.1  0.25   0.4
45   2.1  0.25   0.5
46   2.1  0.50   0.1
47   2.1  0.50   0.2
48   2.1  0.50   0.3
49   2.1  0.50   0.4
50   2.1  0.50   0.5
51   2.1  0.75   0.1
52   2.1  0.75   0.2
53   2.1  0.75   0.3
54   2.1  0.75   0.4
55   2.1  0.75   0.5
56   2.1  1.00   0.1
57   2.1  1.00   0.2
58   2.1  1.00   0.3
59   2.1  1.00   0.4
60   2.1  1.00   0.5
