Wall time,Step,Value
1686208476,20,61.35555649
1686208664,40,61.6222229
1686208860,60,61.2444458
1686209065,80,61.46666718
1686209280,100,61.04444504
1686209480,120,60.16666794
1686209675,140,60.29999924
1686209874,160,59.54444504
1686210070,180,59.94444275
1686210167,190,59.70000076
1686210263,200,59.44444275
1686210361,210,59.42222214
1686210457,220,59.26666641
1686210554,230,59.56666565
1686210651,240,59.46666718
1686210843,260,59.40000153
1686211036,280,59.77777863
1686211229,300,59.53333282
1686211423,320,59.08889008
1686211618,340,59.2444458
1686211813,360,59.15555573
1686212009,380,59.45555496
1686212206,400,59.34444427
1686212402,420,59.2444458
1686212596,440,59.86666489
1686212789,460,59.82222366
1686212982,480,59.27777863
1686213180,500,59.5
1686213377,520,59.48888779
1686213570,540,59.61111069
1686213764,560,59.86666489
1686213956,580,59.78888702
1686214149,600,60.01111221
1686214343,620,59.68888855
1686214575,640,59.78888702
1686214790,660,59.61111069
1686214998,680,59.84444427
1686215237,700,60.26666641
1686215464,720,59.31111145
1686215683,740,59.97777939
1686215900,760,60.06666565
1686216113,780,60.15555573
1686216304,800,59.55555725
1686216494,820,59.7555542
1686216685,840,59.68888855
1686216878,860,60.11111069
1686217072,880,59.84444427
1686217297,900,59.92222214
1686217518,920,59.58889008
1686217722,940,59.84444427
