Wall time,Step,Value
1686128722,20,60.27777863
1686128911,40,60.81111145
1686129103,60,59.97777939
1686129294,80,60.48888779
1686129482,100,60.81111145
1686129671,120,59.08889008
1686129860,140,58.88888931
1686130057,160,58.71111298
1686130248,180,58.93333435
1686130435,200,58.47777939
1686130620,220,58.83333206
1686130813,240,58.97777939
1686131004,260,58.57777786
1686131201,280,58.7555542
1686131397,300,58.81111145
1686131589,320,58.7444458
1686131776,340,58.56666565
1686131969,360,58.51111221
1686132170,380,58.41110992
1686132384,400,58.63333511
1686132592,420,58.56666565
1686132791,440,58.71111298
1686132992,460,58.63333511
1686133189,480,58.96666718
1686133386,500,58.81111145
1686133601,520,58.91110992
1686133802,540,58.85555649
1686134003,560,59.08889008
1686134221,580,58.72222137
1686134444,600,58.76666641
1686134648,620,58.81111145
1686134843,640,58.68888855
1686135033,660,58.90000153
1686135221,680,59.09999847
1686135409,700,59.18888855
1686135596,720,59.02222061
1686135783,740,59.42222214
1686136008,760,59.36666489
1686136263,780,59.32222366
1686136519,800,59.56666565
1686136779,820,59.63333511
1686137032,840,59.23333359
1686137279,860,60.59999847
1686137528,880,60.59999847
1686137733,900,60.09999847
1686137926,920,60.18888855
1686138114,940,60.28888702
